Date,Open,High,Low,Close,Adj Close,Volume
28-09-2020,11244.4502,11428.59961,11184.54981,11416.9502,11416.9502,947000
05-10-2020,11487.79981,11938.59961,11452.29981,11914.2002,11914.2002,2825300
12-10-2020,11973.54981,12025.4502,11661.29981,11762.4502,11762.4502,2714800
19-10-2020,11879.2002,12018.65039,11775.75,11930.34961,11930.34961,2665900
26-10-2020,11937.40039,11942.84961,11535.4502,11642.40039,11642.40039,2948800
02-11-2020,11697.34961,12280.40039,11557.40039,12263.54981,12263.54981,3119300
09-11-2020,12399.40039,12769.75,12367.34961,12719.9502,12719.9502,3417300
16-11-2020,12932.5,12963,12730.25,12859.04981,12859.04981,2871800
23-11-2020,12960.29981,13145.84961,12790.40039,12968.9502,12968.9502,3596200
30-11-2020,13062.2002,13280.04981,12962.79981,13258.54981,13258.54981,2655500
07-12-2020,13264.84961,13579.34961,13241.9502,13513.84961,13513.84961,2978600
14-12-2020,13571.4502,13773.25,13447.04981,13760.54981,13760.54981,2453600
21-12-2020,13741.90039,13777.5,13131.4502,13749.25,13749.25,2313600
28-12-2020,13815.15039,14049.84961,13811.54981,14018.5,14018.5,2034400
04-01-2021,14104.34961,14367.29981,13953.75,14347.25,14347.25,2792500
11-01-2021,14474.04981,14653.34961,14357.84961,14433.7002,14433.7002,3886300
18-01-2021,14453.29981,14753.54981,14222.79981,14371.90039,14371.90039,3412600
25-01-2021,14477.79981,14491.09961,13596.75,13634.59961,13634.59961,2670400
01-02-2021,13758.59961,15014.65039,13661.75,14924.25,14924.25,4475300
08-02-2021,15064.29981,15257.09961,14977.2002,15163.29981,15163.29981,3081200
15-02-2021,15270.29981,15431.75,14898.2002,14981.75,14981.75,3092100
22-02-2021,14999.04981,15176.5,14467.75,14529.15039,14529.15039,3665300
01-03-2021,14702.5,15273.15039,14638.54981,14938.09961,14938.09961,2848800
08-03-2021,15002.4502,15336.29981,14919.90039,15030.9502,15030.9502,1573100
15-03-2021,15048.40039,15051.59961,14350.09961,14744,14744,1929100
22-03-2021,14736.29981,14878.59961,14264.40039,14507.29981,14507.29981,2477400
29-03-2021,14628.5,14883.2002,14617.59961,14867.34961,14867.34961,1503400
05-04-2021,14837.7002,14984.15039,14459.5,14834.84961,14834.84961,2003900
12-04-2021,14644.65039,14697.7002,14248.7002,14617.84961,14617.84961,2400500
19-04-2021,14306.59961,14526.9502,14151.40039,14341.34961,14341.34961,2002400
26-04-2021,14449.4502,15044.34961,14421.29981,14631.09961,14631.09961,2492900
03-05-2021,14481.04981,14863.04981,14416.25,14823.15039,14823.15039,2364000
10-05-2021,14928.25,14966.90039,14591.90039,14677.79981,14677.79981,2433900
17-05-2021,14756.25,15190,14725.34961,15175.29981,15175.29981,2752600
24-05-2021,15211.34961,15469.65039,15145.4502,15435.65039,15435.65039,1873400
31-05-2021,15437.75,15733.59961,15374,15670.25,15670.25,2098600
07-06-2021,15725.09961,15835.54981,15566.90039,15799.34961,15799.34961,1891400
14-06-2021,15791.40039,15901.59961,15450.90039,15683.34961,15683.34961,2054800
21-06-2021,15525.84961,15895.75,15505.65039,15860.34961,15860.34961,1592500
28-06-2021,15915.34961,15915.65039,15635.9502,15722.2002,15722.2002,1357500
05-07-2021,15793.40039,15914.2002,15632.75,15689.79981,15689.79981,1478800
12-07-2021,15766.79981,15962.25,15644.75,15923.40039,15923.40039,1024200
19-07-2021,15754.5,15899.79981,15578.54981,15856.04981,15856.04981,1075800
26-07-2021,15849.29981,15893.34961,15513.4502,15763.04981,15763.04981,1698300
02-08-2021,15874.90039,16349.4502,15834.65039,16238.2002,16238.2002,1751700
09-08-2021,16281.34961,16543.59961,16162.54981,16529.09961,16529.09961,1408500
16-08-2021,16518.40039,16701.84961,16376.04981,16450.5,16450.5,1154000
23-08-2021,16592.25,16722.05078,16395.69922,16705.19922,16705.19922,1287800
30-08-2021,16775.84961,17340.09961,16764.84961,17323.59961,17323.59961,1553600
06-09-2021,17399.34961,17436.5,17254.19922,17369.25,17369.25,965600
13-09-2021,17363.55078,17792.94922,17269.15039,17585.15039,17585.15039,1871300
20-09-2021,17443.84961,17947.65039,17326.09961,17853.19922,17853.19922,1678500
27-09-2021,17932.19922,17943.5,17452.90039,17532.05078,17532.05078,1940300
04-10-2021,17615.55078,17941.84961,17581.34961,17895.19922,17895.19922,1862600
11-10-2021,17867.55078,18350.75,17839.09961,18338.55078,18338.55078,1776800
18-10-2021,18500.09961,18604.44922,18034.34961,18114.90039,18114.90039,1900000
25-10-2021,18229.5,18342.05078,17613.09961,17671.65039,17671.65039,1806000
01-11-2021,17783.15039,18012.25,17697.09961,17916.80078,17916.80078,957100
08-11-2021,18040.19922,18123,17798.19922,18102.75,18102.75,1351700
15-11-2021,18140.94922,18210.15039,17688.5,17764.80078,17764.80078,1121900
22-11-2021,17796.25,17805.25,16985.69922,17026.44922,17026.44922,1575500
29-11-2021,17055.80078,17489.80078,16782.40039,17196.69922,17196.69922,1714800
06-12-2021,17209.05078,17543.25,16891.69922,17511.30078,17511.30078,1185300
13-12-2021,17619.09961,17639.5,16966.44922,16985.19922,16985.19922,1316700
20-12-2021,16824.25,17155.59961,16410.19922,17003.75,17003.75,1159100
27-12-2021,16937.75,17400.80078,16833.19922,17354.05078,17354.05078,970300
03-01-2022,17387.15039,17944.69922,17383.30078,17812.69922,17812.69922,1175200
10-01-2022,17913.30078,18286.94922,17879.15039,18255.75,18255.75,1230800
17-01-2022,18235.65039,18350.94922,17485.84961,17617.15039,17617.15039,1306600
24-01-2022,17575.15039,17599.40039,16836.80078,17101.94922,17101.94922,1401200
31-01-2022,17301.05078,17794.59961,17244.55078,17516.30078,17516.30078,1467300
07-02-2022,17456.30078,17639.44922,17043.65039,17374.75,17374.75,1296600
14-02-2022,17076.15039,17490.59961,16809.65039,17276.30078,17276.30078,1270400
21-02-2022,17192.25,17351.05078,16203.25,16658.40039,16658.40039,1503300
28-02-2022,16481.59961,16815.90039,16133.79981,16245.34961,16245.34961,1820100
07-03-2022,15867.9502,16757.30078,15671.4502,16630.44922,16630.44922,2421300
14-03-2022,16633.69922,17344.59961,16555,17287.05078,17287.05078,1404600
21-03-2022,17329.5,17442.40039,17006.30078,17153,17153,1443300
28-03-2022,17181.84961,17703.69922,17003.90039,17670.44922,17670.44922,1566200
04-04-2022,17809.09961,18114.65039,17600.55078,17784.34961,17784.34961,1541000
11-04-2022,17740.90039,17779.05078,17442.34961,17475.65039,17475.65039,762800
18-04-2022,17183.44922,17414.69922,16824.69922,17171.94922,17171.94922,1611500
25-04-2022,17009.05078,17377.65039,16888.69922,17102.55078,17102.55078,1451000
02-05-2022,16924.44922,17132.84961,16340.90039,16411.25,16411.25,1155100
09-05-2022,16227.7002,16404.55078,15735.75,15782.15039,15782.15039,1539800
16-05-2022,15845.09961,16399.80078,15739.65039,16266.15039,16266.15039,1370000
23-05-2022,16290.9502,16414.69922,15903.7002,16352.4502,16352.4502,1375300
