Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,3315.000000,3327.000000,3205.350098,3209.300049,3177.345947,8986568
2023-06-12,3215.000000,3265.000000,3156.000000,3174.899902,3143.288330,11785076
2023-06-19,3190.000000,3267.649902,3175.000000,3216.350098,3208.008057,7291733
2023-06-26,3205.000000,3310.000000,3173.000000,3302.250000,3293.685059,5514751
2023-07-03,3314.300049,3356.899902,3268.750000,3329.250000,3320.615234,8434517
2023-07-10,3324.750000,3524.850098,3250.100098,3514.649902,3505.534180,14924090
2023-07-17,3510.000000,3549.899902,3359.050049,3368.300049,3359.563965,13234315
2023-07-24,3381.000000,3420.850098,3331.000000,3355.399902,3355.399902,8321515
2023-07-31,3364.399902,3471.000000,3360.899902,3443.550049,3443.550049,10889588
2023-08-07,3453.949951,3489.949951,3414.000000,3448.800049,3448.800049,8059378
2023-08-14,3440.699951,3466.000000,3356.500000,3367.100098,3367.100098,6888860
2023-08-21,3375.000000,3413.050049,3350.250000,3381.300049,3381.300049,6238564
2023-08-28,3394.000000,3417.399902,3343.649902,3379.199951,3379.199951,7865804
2023-09-04,3378.000000,3465.000000,3370.050049,3441.899902,3441.899902,8049001
2023-09-11,3462.000000,3607.350098,3445.000000,3598.300049,3598.300049,13572167
2023-09-18,3580.050049,3633.750000,3528.000000,3603.649902,3603.649902,7038305
2023-09-25,3602.500000,3620.000000,3505.550049,3528.600098,3528.600098,8505518
2023-09-29,3537.199951,3568.449951,3505.550049,3528.600098,3528.600098,2243314
